OffspringID1,OffspringID2,Probability
L0682,L0885,0.893
L0682,L1249,0.032
L0682,L1318,0.823
L0682,L1724,0.002
L0683,L0888,0.996
L0691,L0981,0.019
L0691,L1270,0.933
L0692,L0854,0.432
L0692,L0885,0.655
L0692,L1101,0.009
L0692,L1260,0.035
L0692,L1724,0.007
L0694,L0773,0.082
L0694,L0852,0.002
L0694,L0855,0.082
L0694,L0858,0.082
L0694,L0862,0.084
L0694,L0869,0.082
L0694,L0870,0.084
L0694,L0887,0.084
L0694,L0889,0.082
L0694,L0891,0.082
L0694,L0976,0.002
L0694,L1074,0.002
L0694,L1078,0.072
L0694,L1079,0.002
L0694,L1082,0.002
L0694,L1087,0.002
L0694,L1099,0.002
L0694,L1112,0.082
L0694,L1116,0.081
L0694,L1117,0.084
L0694,L1118,0.002
L0694,L1220,0.084
L0694,L1249,0.082
L0694,L1263,0.084
L0694,L1309,0.084
L0694,L1314,0.084
L0694,L1318,0.084
L0694,L1724,0.084
L0694,L1733,0.084
L0694,L2394,0.077
L0694,L2496,0.002
L0694,L2524,0.002
L0696,L1260,0.010
L0696,L1263,0.103
L0696,L1272,0.003
L0696,L1724,0.001
L0698,L1226,0.031
L0773,L0852,0.005
L0773,L0976,0.171
L0773,L1082,0.962
L0773,L1083,0.003
L0773,L1118,0.458
L0773,L1249,0.005
L0773,L2524,0.884
L0852,L0862,0.506
L0852,L0870,0.011
L0852,L1117,0.056
L0852,L1220,0.006
L0852,L1318,0.963
L0852,L1724,0.127
L0854,L0862,0.379
L0854,L0869,0.120
L0854,L0875,0.334
L0854,L0887,0.002
L0854,L1220,0.005
L0855,L0876,0.006
L0855,L1074,0.090
L0855,L1249,0.006
L0855,L1272,0.144
L0855,L2524,0.210
L0855,L2525,0.334
L0858,L0885,0.006
L0858,L1079,0.027
L0858,L1087,0.021
L0858,L1249,0.005
L0858,L1258,0.006
L0859,L2347,0.075
L0862,L0883,0.589
L0862,L1118,0.002
L0869,L1079,0.029
L0869,L1082,0.045
L0869,L1104,0.128
L0869,L1118,0.622
L0869,L1249,0.005
L0869,L1260,0.047
L0869,L1312,0.020
L0869,L2348,0.013
L0869,L2496,0.043
L0869,L2524,0.997
L0870,L0876,0.002
L0870,L1079,0.995
L0870,L1099,0.994
L0870,L1118,0.004
L0874,L0889,0.027
L0874,L1112,0.025
L0874,L1116,0.627
L0875,L0883,0.821
L0875,L1083,0.001
L0875,L1724,0.002
L0876,L0887,0.001
L0876,L1080,1.000
L0876,L1117,0.886
L0876,L1258,0.003
L0876,L1312,0.003
L0883,L1210,0.001
L0885,L1080,0.002
L0887,L0976,0.024
L0887,L1074,0.001
L0887,L1079,0.037
L0887,L1083,0.005
L0887,L1260,0.060
L0887,L2524,0.009
L0889,L1083,0.002
L0889,L1104,0.005
L0889,L1249,0.005
L0891,L1074,0.003
L0891,L1079,0.282
L0891,L1082,0.258
L0891,L1087,0.038
L0891,L1099,0.654
L0891,L1249,0.005
L0891,L1260,0.002
L0891,L2496,0.122
L0976,L1249,0.160
L0976,L1318,0.070
L0982,L1083,0.361
L0982,L1260,0.001
L0982,L1724,0.246
L1074,L1116,0.012
L1074,L1220,0.001
L1074,L1318,1.000
L1075,L1110,0.004
L1078,L1082,0.064
L1078,L1087,0.610
L1078,L1210,0.973
L1078,L2348,0.001
L1079,L1220,0.230
L1079,L1309,0.112
L1079,L2394,0.171
L1080,L1083,0.989
L1080,L1101,1.000
L1080,L1733,0.015
L1082,L1117,0.924
L1082,L1249,0.923
L1082,L1318,0.631
L1083,L1312,0.629
L1087,L1112,0.003
L1087,L1318,0.072
L1087,L1724,0.002
L1099,L1112,0.042
L1099,L1249,0.986
L1099,L1318,1.000
L1099,L2394,0.081
L1101,L1116,0.081
L1101,L1312,0.978
L1103,L1260,0.024
L1103,L1263,0.003
L1103,L1272,0.511
L1103,L1274,0.007
L1104,L1274,0.088
L1104,L1312,0.002
L1112,L1249,0.005
L1112,L1258,0.002
L1116,L1210,0.010
L1116,L1249,0.005
L1117,L1118,0.882
L1117,L1249,0.008
L1117,L1263,0.003
L1117,L1309,0.003
L1117,L1314,0.003
L1117,L1318,0.003
L1117,L1724,0.003
L1117,L1733,0.003
L1117,L2496,0.904
L1117,L2524,0.399
L1118,L1249,0.484
L1118,L1263,0.003
L1210,L1724,0.968
L1210,L1733,0.507
L1220,L2496,0.003
L1249,L1258,0.108
L1249,L1263,0.031
L1249,L1274,0.001
L1249,L1733,0.059
L1249,L2496,0.010
L1258,L1260,0.015
L1260,L1312,0.282
L1263,L2394,0.001
L1272,L1312,0.002
L1309,L1724,1.000
L1309,L1733,0.282
L1312,L1314,0.005
L1314,L1318,0.747
L1314,L2348,0.048
L1314,L2524,0.945
L1318,L2524,0.429
L1724,L2394,0.041
L2347,L2492,0.075
L0732,L2598,0.011
L0732,L3038,0.006
L0732,L3114,0.005
L0732,L3310,0.267
L0732,L3553,0.015
L0732,L3700,0.016
L0732,L5064,1.000
L0732,L5238,0.395
L0732,L5393,0.054
L0732,L5400,0.012
L2340,L2734,0.001
L2390,L2872,0.005
L2390,L2881,0.924
L2390,L5591,1.000
L2439,L2640,0.032
L2439,L2877,0.202
L2439,L2884,0.067
L2439,L2993,0.001
L2439,L5248,0.017
L2439,L5261,0.005
L2575,L2598,0.011
L2575,L2645,0.136
L2575,L2650,0.142
L2575,L2744,0.004
L2575,L2898,0.002
L2575,L2985,0.003
L2575,L3028,0.991
L2575,L3035,1.000
L2575,L3038,0.210
L2575,L3069,0.837
L2575,L3076,0.009
L2575,L3155,0.024
L2575,L3430,0.003
L2575,L3608,0.009
L2575,L3940,0.019
L2575,L4424,0.014
L2575,L5024,0.002
L2575,L5067,0.930
L2575,L5174,0.010
L2575,L5227,0.003
L2575,L5238,0.009
